Animal Number,Official Reg. No. (ORN),"Dam, Official Reg. Number (ORN)",Sire Bull ID/ORN,Breed,Birth Date
48,48,8.0,3-9801 Ulti,01 SRB,10/21/2016
49,49,,9-6054 Rankin,01 SRB,11/7/2016
50,50,,9-3618 Grace,02 SLB,12/23/2016
51,51,,9-3678 Pontos,02 SLB,1/12/2017
52,52,,9-3639 Cosmo,02 SLB,2/1/2017
53,53,,3-9790 Hjustica,01 SRB,2/9/2017
54,54,,22-7332 Borat,01 SRB,2/10/2017
55,55,,9-3738 Radium,02 SLB,2/22/2017
56,56,12.0,22-7640 Fonseca,01 SRB,3/9/2017
57,57,,9-3735 Bosman,02 SLB,3/10/2017
58,58,,9-3719 Solaris,02 SLB,4/8/2017
59,59,9.0,9-3618 Grace,02 SLB,4/15/2017
60,60,,22-7688 Firenze,01 SRB,4/23/2017
61,61,,9-3741 Skipper,01 SRB,4/25/2017
62,62,,9-6125 Borkov,01 SRB,5/14/2017
63,63,7.0,22-7640 Fonseca,01 SRB,5/28/2017
64,64,4.0,9-3806 Broback,02 SLB,6/18/2017
65,65,,9-6142 Bermuda,01 SRB,7/21/2017
66,66,,9-3735 Bosman,02 SLB,7/29/2017
67,67,,9-3841 Brook,02 SLB,8/20/2017
68,68,,22-7640 Fonseca,01 SRB,8/29/2017
69,69,2.0,9-3806 Broback,02 SLB,9/7/2017
70,70,15.0,9-3777 Erasco,02 SLB,9/9/2017
71,71,,22-6807 Vimpula,01 SRB,10/1/2017
72,72,20.0,9-6164 Wonder,01 SRB,10/2/2017
73,73,,3-9825 Birka,01 SRB,10/12/2017
74,74,,9-6164 Wonder,01 SRB,10/24/2017
75,75,8.0,3-9802 Bonzo,01 SRB,10/24/2017
76,76,,9-3752 Geller,01 SRB,11/4/2017
77,77,,9-3618 Grace,02 SLB,11/13/2017
78,78,10.0,3-5071 Esset,02 SLB,11/23/2017
79,79,23.0,9-3639 Cosmo,02 SLB,12/17/2017
80,80,25.0,9-3841 Brook,02 SLB,12/18/2017
81,81,27.0,9-6089 Faber,01 SRB,12/18/2017
82,82,,3-9802 Bonzo,01 SRB,12/29/2017
83,83,,9-3905 Romello,02 SLB,2/11/2018
84,84,30.0,9-3905 Romello,02 SLB,2/13/2018
85,85,31.0,9-3850 Rodrigo,01 SRB,2/15/2018
86,86,,3-9959 Leho,01 SRB,3/2/2018
87,87,17.0,9-3812 Chacca,02 SLB,3/10/2018
88,88,118.0,22-7607 Futari,01 SRB,4/28/2018
89,89,123.0,9-3845 Barso,02 SLB,5/15/2018
90,90,34.0,9-3905 Romello,02 SLB,6/23/2018
91,91,21.0,9-3873 Neptune,02 SLB,8/7/2018
92,92,,3-5103 Nexus,02 SLB,8/11/2018
93,93,14.0,9-3928 Zodiak,02 SLB,8/22/2018
94,94,20.0,9-6163 Formula,01 SRB,9/2/2018
95,95,,9-6163 Formula,01 SRB,9/6/2018
96,96,19.0,9-6163 Formula,01 SRB,9/17/2018
97,97,1.0,9-3878 Galbert,02 SLB,9/23/2018
98,98,44.0,22-7675 Lorenzo,01 SRB,10/16/2018
99,99,16.0,9-6163 Formula,01 SRB,10/16/2018
100,100,128.0,3-5103 Nexus,02 SLB,11/1/2018
101,101,45.0,22-7607 Futari,01 SRB,11/8/2018
102,102,27.0,3-9725 Tokyo,01 SRB,11/9/2018
103,103,46.0,22-7607 Futari,01 SRB,11/24/2018
104,104,18.0,9-4513 Roxy,02 SLB,12/25/2018
105,105,,3-9756 Nicke,01 SRB,2/4/2019
106,106,,22-7850 Abraham,01 SRB,2/8/2019
107,107,57.0,9-3924 Leyton,02 SLB,2/16/2019
108,108,,3-9855 Bourne,01 SRB,3/25/2019
109,109,177.0,9-4513 Roxy,02 SLB,4/9/2019
110,110,11.0,22-7967 Hjuve,01 SRB,4/16/2019
111,111,59.0,9-3850 Rodrigo,02 SLB,5/3/2019
112,112,26.0,9-4513 Roxy,02 SLB,6/2/2019
113,113,13.0,9-3964 Baylor,02 SLB,6/11/2019
114,114,123.0,9-3850 Rodrigo,02 SLB,6/27/2019
115,115,118.0,22-7850 Abraham,01 SRB,7/1/2019
116,116,14.0,9-3366 Clark,02 SLB,7/13/2019
117,117,0.0,22-7866 Hiphop,01 SRB,7/28/2019
118,118,,,01 SRB,1/27/2015
119,119,20.0,9-6201 Up,01 SRB,8/3/2019
120,120,1.0,6-5125 Hutney,02 SLB,8/22/2019
121,121,,22-7971 Upturn,01 SRB,8/26/2019
122,122,47.0,9-4526 Beluga,02 SLB,8/30/2019
123,123,,,02 SLB,3/20/2015
124,124,15.0,9-4526 Beluga,02 SLB,9/10/2019
125,125,69.0,3-5125 Huttney,02 SLB,9/25/2019
126,126,25.0,3-5125 Huttney,02 SLB,10/17/2019
127,127,48.0,9-6178 Filur,01 SRB,10/18/2019
128,128,,,02 SLB,4/6/2015
129,129,43.0,3-9861 Guidett,01 SRB,10/22/2019
130,130,74.0,22-7960 Elektro,01 SRB,10/23/2019
131,131,77.0,3-5125 Huttney,02 SLB,10/30/2019
132,132,76.0,9-4526 Beluga,01 SRB,11/1/2019
133,133,24.0,9-6201 Up,01 SRB,11/4/2019
134,134,27.0,3-9861 Guidett,01 SRB,11/12/2019
135,135,67.0,3-5129 Ossie,02 SLB,11/23/2019
136,136,51.0,9-4526 Beluga,02 SLB,12/1/2019
137,137,50.0,3-5133 Hilding,02 SLB,12/2/2019
138,138,72.0,9-6178 Filur,01 SRB,12/4/2019
139,139,79.0,3-5125 Huttney,02 SLB,12/8/2019
140,140,16.0,9-6204 Volvo,01 SRB,12/12/2019
141,141,,9-6223  Fanof,01 SRB,12/24/2019
142,142,57.0,3-5131 Chrille,02 SLB,1/6/2020
143,143,71.0,22-8014 Bebob,01 SRB,1/10/2020
144,144,53.0,22-8014 Bebob,01 SRB,1/24/2020
145,145,87.0,3-5125 Huttney,02 SLB,1/28/2020
146,146,52.0,9-4526 Beluga,02 SLB,1/29/2020
147,147,85.0,3-5125 Huttney,01 SRB,1/31/2020
148,148,,3-9892 Lister,01 SRB,2/15/2020
149,149,83.0,9-4556 Sublime,02 SLB,2/15/2020
150,150,82.0,22-7971 Upturn,01 SRB,2/19/2020
151,151,,9-6211 FITBIT,01 SRB,2/20/2020
152,152,84.0,3-5125 Huttney,02 SLB,3/9/2020
153,153,55.0,3-5133 Hilding,02 SLB,3/16/2020
154,154,89.0,9-4596 Laval,02 SLB,3/30/2020
155,155,37.0,22-8037 Winter,01 SRB,4/8/2020
156,156,59.0,3-5133 Hilding,02 SLB,4/19/2020
157,157,88.0,9-6223  Fanof,01 SRB,4/19/2020
158,158,88.0,9-6223  Fanof,01 SRB,4/19/2020
159,159,86.0,3-9902 Forward,01 SRB,4/30/2020
160,160,,22-8063 Amour,01 SRB,6/4/2020
161,161,118.0,22-8037 Winter,01 SRB,6/7/2020
162,162,21.0,9-4601 Linwood,02 SLB,6/26/2020
163,163,35.0,9-6223  Fanof,01 SRB,6/29/2020
164,164,65.0,3-9886 Fiction,01 SRB,7/14/2020
165,165,,22-8093  Loke,01 SRB,7/30/2020
166,166,69.0,3-5126 Smoodie,02 SLB,8/7/2020
167,167,60.0,9-3752 Geller,01 SRB,8/28/2020
168,168,74.0,9-6223  Fanof,01 SRB,9/1/2020
169,169,6.0,3-7721 Young,01 SRB,9/4/2020
170,170,96.0,22-8127 Lacto,01 SRB,9/14/2020
171,171,92.0,3-5133 Hilding,02 SLB,9/14/2020
172,172,25.0,3-5125 Huttney,02 SLB,10/9/2020
173,173,9.0,3-7721 Young,02 SLB,10/18/2020
174,174,100.0,9-4670 Burzaco,02 SLB,10/22/2020
175,175,28.0,3-7721 Young,01 SRB,10/28/2020
176,176,24.0,3-7140 Laf,01 SRB,10/28/2020
177,177,,,02 SLB,7/12/2013
178,178,,,01 SRB,7/23/2013
179,179,95.0,22-8036 Snowman,01 SRB,9/10/2020
180,180,63.0,3-7145 Devil,01 SRB,9/18/2020
181,181,75.0,3-7717 Sling,01 SRB,9/21/2020
182,182,0.0,3-7145 Devil,01 SRB,9/22/2020
183,183,77.0,9-4601 Linwood,02 SLB,9/23/2020
184,184,97.0,9-4623 Notlev,02 SLB,9/23/2020
185,185,99.0,22-8180 Vario,01 SRB,10/8/2020
186,186,27.0,3-9846 Herbert,01 SRB,10/18/2020
187,187,42.0,9-4513 Roxy,02 SLB,10/19/2020
188,188,103.0,22-8178 Unnca,01 SRB,10/20/2020
189,189,128.0,9-4570 Cassidy,02 SLB,10/30/2020
190,190,48.0,22-8127 Lacto,01 SRB,11/4/2020
191,191,17.0,9-4617 Markos P,02 SLB,11/11/2020
192,192,102.0,3-9882 Wiking,01 SRB,11/13/2020
