Animal Number,Official Reg. No. (ORN),"Dam, Official Reg. Number (ORN)",Sire Bull ID/ORN,Breed,Birth Date
1281,-1281,-1170,22-7640 Fonseca,01 SRB,5/28/2017
1283,-1283,-1162,9-3806 Broback,02 SLB,6/18/2017
1285,-1285,-1188,9-6142 Bermuda,01 SRB,7/21/2017
1287,-1287,-1189,9-3735 Bosman,02 SLB,7/29/2017
1292,-1292,-1169,9-3841 Brook,02 SLB,8/20/2017
1293,-1293,-1142,22-7640 Fonseca,01 SRB,8/29/2017
1295,-1295,-1138,9-3806 Broback,02 SLB,9/7/2017
1296,-1296,-1197,9-3777 Erasco,02 SLB,9/9/2017
1297,-1297,-1202,22-6807 Vimpula,01 SRB,10/1/2017
1298,-1298,-1203,9-6164 Wonder,01 SRB,10/2/2017
1299,-1299,-1022,3-9825 Birka,01 SRB,10/12/2017
1301,-1301,-1205,9-6164 Wonder,01 SRB,10/24/2017
1302,-1302,-1173,3-9802 Bonzo,01 SRB,10/24/2017
1303,-1303,-1179,9-3752 Geller,01 SRB,11/4/2017
1305,-1305,-1090,9-3618 Grace,02 SLB,11/13/2017
1307,-1307,-1180,3-5071 Esset,02 SLB,11/23/2017
1308,-1308,-1210,9-3639 Cosmo,02 SLB,12/17/2017
1309,-1309,-1212,9-3841 Brook,02 SLB,12/18/2017
1310,-1310,-1215,9-6089 Faber,01 SRB,12/18/2017
1312,-1312,-1217,3-9802 Bonzo,01 SRB,12/29/2017
1319,-1319,-1179,9-3905 Romello,02 SLB,2/11/2018
1320,-1320,-1223,9-3905 Romello,02 SLB,2/13/2018
1321,-1321,-1224,9-3850 Rodrigo,01 SRB,2/15/2018
1322,-1322,-1110,3-9959 Leho,01 SRB,3/2/2018
1324,-1324,-1199,9-3812 Chacca,02 SLB,3/10/2018
1327,-1327,-1389,22-7607 Futari,01 SRB,4/28/2018
1330,-1330,-1396,9-3845 Barso,02 SLB,5/15/2018
1333,-1333,-1231,9-3905 Romello,02 SLB,6/23/2018
1339,-1339,-1208,9-3873 Neptune,02 SLB,8/7/2018
1340,-1340,-1073,3-5103 Nexus,02 SLB,8/11/2018
1342,-1342,-1195,9-3928 Zodiak,02 SLB,8/22/2018
1343,-1343,-1203,9-6163 Formula,01 SRB,9/2/2018
1344,-1344,-1202,9-6163 Formula,01 SRB,9/6/2018
1347,-1347,-1201,9-6163 Formula,01 SRB,9/17/2018
1348,-1348,-1039,9-3878 Galbert,02 SLB,9/23/2018
1351,-1351,-1249,22-7675 Lorenzo,01 SRB,10/16/2018
1352,-1352,-1198,9-6163 Formula,01 SRB,10/16/2018
1354,-1354,-1402,3-5103 Nexus,02 SLB,11/1/2018
1355,-1355,-1250,22-7607 Futari,01 SRB,11/8/2018
1356,-1356,-1215,3-9725 Tokyo,01 SRB,11/9/2018
1357,-1357,-1251,22-7607 Futari,01 SRB,11/24/2018
1359,-1359,-1200,9-4513 Roxy,02 SLB,12/25/2018
1366,-1366,-1174,3-9756 Nicke,01 SRB,2/4/2019
1367,-1367,-1259,22-7850 Abraham,01 SRB,2/8/2019
1368,-1368,-1267,9-3924 Leyton,02 SLB,2/16/2019
1372,-1372,-1272,3-9855 Bourne,01 SRB,3/25/2019
1373,-1373,-1189,9-4513 Roxy,02 SLB,4/9/2019
1374,-1374,-1184,22-7967 Hjuve,01 SRB,4/16/2019
1376,-1376,-1274,9-3850 Rodrigo,02 SLB,5/3/2019
1378,-1378,-1213,9-4513 Roxy,02 SLB,6/2/2019
1380,-1380,-1193,9-3964 Baylor,02 SLB,6/11/2019
1381,-1381,-1396,9-3850 Rodrigo,02 SLB,6/27/2019
1383,-1383,-1389,22-7850 Abraham,01 SRB,7/1/2019
1385,-1385,-1195,9-3366 Clark,02 SLB,7/13/2019
1388,-1388,-0602,22-7866 Hiphop,01 SRB,7/28/2019
1389,-1389,,,01 SRB,1/27/2015
1391,-1391,-1203,9-6201 Up,01 SRB,8/3/2019
1393,-1393,-1039,6-5125 Hutney,02 SLB,8/22/2019
1394,-1394,-1286,22-7971 Upturn,01 SRB,8/26/2019
1395,-1395,-1252,9-4526 Beluga,02 SLB,8/30/2019
1396,-1396,,,02 SLB,3/20/2015
1397,-1397,-1197,9-4526 Beluga,02 SLB,9/10/2019
1399,-1399,-1295,3-5125 Huttney,02 SLB,9/25/2019
1400,-1400,-1212,3-5125 Huttney,02 SLB,10/17/2019
1401,-1401,-1253,9-6178 Filur,01 SRB,10/18/2019
1402,-1402,,,02 SLB,4/6/2015
1403,-1403,-1244,3-9861 Guidett,01 SRB,10/22/2019
1404,-1404,-1301,22-7960 Elektro,01 SRB,10/23/2019
1405,-1405,-1305,3-5125 Huttney,02 SLB,10/30/2019
1406,-1406,-1303,9-4526 Beluga,01 SRB,11/1/2019
1407,-1407,-1211,9-6201 Up,01 SRB,11/4/2019
1408,-1408,-1215,3-9861 Guidett,01 SRB,11/12/2019
1410,-1410,-1292,3-5129 Ossie,02 SLB,11/23/2019
1411,-1411,-1258,9-4526 Beluga,02 SLB,12/1/2019
1412,-1412,-1257,3-5133 Hilding,02 SLB,12/2/2019
1413,-1413,-1298,9-6178 Filur,01 SRB,12/4/2019
1414,-1414,-1308,3-5125 Huttney,02 SLB,12/8/2019
1415,-1415,-1198,9-6204 Volvo,01 SRB,12/12/2019
1416,-1416,-1316,9-6223  Fanof,01 SRB,12/24/2019
1418,-1418,-1267,3-5131 Chrille,02 SLB,1/6/2020
1419,-1419,-1297,22-8014 Bebob,01 SRB,1/10/2020
1422,-1422,-1263,22-8014 Bebob,01 SRB,1/24/2020
1423,-1423,-1324,3-5125 Huttney,02 SLB,1/28/2020
1424,-1424,-1261,9-4526 Beluga,02 SLB,1/29/2020
1425,-1425,-1321,3-5125 Huttney,01 SRB,1/31/2020
1426,-1426,-1177,3-9892 Lister,01 SRB,2/15/2020
1427,-1427,-1319,9-4556 Sublime,02 SLB,2/15/2020
1428,-1428,-1312,22-7971 Upturn,01 SRB,2/19/2020
1429,-1429,-1272,9-6211 FITBIT,01 SRB,2/20/2020
1430,-1430,-1320,3-5125 Huttney,02 SLB,3/9/2020
1431,-1431,-1265,3-5133 Hilding,02 SLB,3/16/2020
1432,-1432,-1330,9-4596 Laval,02 SLB,3/30/2020
1433,-1433,-1235,22-8037 Winter,01 SRB,4/8/2020
1434,-1434,-1274,3-5133 Hilding,02 SLB,4/19/2020
1435,-1435,-1327,9-6223  Fanof,01 SRB,4/19/2020
1436,-1436,-1327,9-6223  Fanof,01 SRB,4/19/2020
1437,-1437,-1322,3-9902 Forward,01 SRB,4/30/2020
1439,-1439,-1188,22-8063 Amour,01 SRB,6/4/2020
1440,-1440,-1389,22-8037 Winter,01 SRB,6/7/2020
1441,-1441,-1208,9-4601 Linwood,02 SLB,6/26/2020
1443,-1443,-1232,9-6223  Fanof,01 SRB,6/29/2020
1448,-1448,-1285,3-9886 Fiction,01 SRB,7/14/2020
1449,-1449,-1242,22-8093  Loke,01 SRB,7/30/2020
1451,-1451,-1295,3-5126 Smoodie,02 SLB,8/7/2020
1452,-1452,-1275,9-3752 Geller,01 SRB,8/28/2020
1453,-1453,-1301,9-6223  Fanof,01 SRB,9/1/2020
1454,-1454,-1167,3-7721 Young,01 SRB,9/4/2020
1455,-1455,-1244,3-7723 Zeb,01 SRB,9/5/2020
1456,-1456,-1347,22-8127 Lacto,01 SRB,9/14/2020
1457,-1457,-1340,3-5133 Hilding,02 SLB,9/14/2020
1458,-1458,-1212,3-5125 Huttney,02 SLB,10/9/2020
1459,-1459,-1178,3-7721 Young,02 SLB,10/18/2020
1460,-1460,-1354,9-4670 Burzaco,02 SLB,10/22/2020
1461,-1461,-1218,3-7721 Young,01 SRB,10/28/2020
1462,-1462,-1211,3-7140 Laf,01 SRB,10/28/2020
5189,-1189,,,02 SLB,7/12/2013
5194,-1194,,,01 SRB,7/23/2013
6950,-6950,-1252,3-7145 Devil,02 SLB,9/1/2020
6951,-6951,-1249,9-6178 Filur,01 SRB,9/4/2020
6952,-6952,-1344,22-8036 Snowman,01 SRB,9/10/2020
6953,-6953,-1281,3-7145 Devil,01 SRB,9/18/2020
6954,-6954,-1302,3-7717 Sling,01 SRB,9/21/2020
6955,-6955,-0602,3-7145 Devil,01 SRB,9/22/2020
6956,-6956,-1305,9-4601 Linwood,02 SLB,9/23/2020
6957,-6957,-1348,9-4623 Notlev,02 SLB,9/23/2020
6958,-6958,-1352,22-8180 Vario,01 SRB,10/8/2020
6959,-6959,-1215,3-9846 Herbert,01 SRB,10/18/2020
6960,-6960,-1241,9-4513 Roxy,02 SLB,10/19/2020
6961,-6961,-1357,22-8178 Unnca,01 SRB,10/20/2020
6962,-6962,-1402,9-4570 Cassidy,02 SLB,10/30/2020
